   53   10    2    1
   SPHERICAL CAP EXAMPLE - MIXDYN - EXAMPLE 1 - FIG. 11.4
    6    3    8   11    2    2    4    2    2    0    2    3    1
    1    1    1    4    6    7    8    5    3    2
    2    1    6    9   11   12   13   10    8    7
    3    1   11   14   16   17   18   15   13   12
    4    1   16   19   21   22   23   20   18   17
    5    1   21   24   26   27   28   25   23   22
    6    1   26   29   31   32   33   30   28   27
    7    1   31   34   36   37   38   35   33   32
    8    1   36   39   41   42   43   40   37   37
    9    1   41   44   46   47   48   45   43   42
   10    1   46   49   51   52   53   50   48   47

    2      22.27      0.00
         22.475      
