   53   10    2    1
 SPHERICAL CAP EXAMPLE - MIXDYN - EXAMPLE 1 - FIG. 11.4
    6    3    8   11    2    2    4    2    0    0    2    3    1
    8
    1    1    1    4    6    7    8    5    3    2
    2    1    6    9   11   12   13   10    8    7
    3    1   11   14   16   17   18   15   13   12
    4    1   16   19   21   22   23   20   18   17
    5    1   21   24   26   27   28   25   23   22
    6    1   26   29   31   32   33   30   28   27
    7    1   31   34   36   37   38   35   33   32
    8    1   36   39   41   42   43   40   37   37
    9    1   41   44   46   47   48   45   43   42
   10    1   46   49   51   52   53   50   48   47

    2    22.475     0.000
    7    22.475     2.667
   12    22.475     5.334
   17    22.475     8.001
   22    22.475    10.668
   27    22.475    13.335
   32    22.475    18.669
   37    22.475    18.669
   42    22.475    21.336
   47    22.475    24.003
   52    22.475    26.670
    3    22.680     0.000
    5    22.680     2.335
    8    22.680     2.667
   10    22.680     4.000
   13    22.680     5.330
   15    22.680     6.667
   18    22.680     8.000
   20    22.680     9.334
   23    22.680    10.668
   25    22.680    12.001
   28    22.680    13.335
   30    22.680    14.668
   33    22.680    16.002
   35    22.680    17.335
   38    22.680    18.669
   40    22.680    20.002
   43    22.680    21.336
   45    22.680    24.003
   48    22.680    25.003
   50    22.680    25.336 
   53    22.680    26.670

    1   10
    2   10
    3   10
   51   11 
   52   11
   53   11

    1 1.105E+08       0.3       0.0  0.245E-3   24000.0       0.0 214285.71       0.0       1.0       1.0

  200    1   20    1    1    1    1    0    5  201    2

  0.000050     0.001       0.0       0.0       0.0      0.25      0.50       0.0       0.0       0.0    0.0001

    1

    1

    1    1    1    1    1    1    1    1    1    1

   53       0.0
   53       0.0

DISTRI四TED STEP PRESSURE P=600LB/IN SQ.
    0    0    1    0
